index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_250_airport,d_250_atm,d_250_bank,d_250_cafe,d_250_convenience_store,d_250_gas_station,d_250_hospital,d_250_lodging,d_250_meal_takeaway,d_250_mosque,d_250_park,d_250_restaurant,d_250_school,d_250_store,d_250_supermarket,d_250_train_station,en_250,n_compt_250,avg_n_rest
12,https://www.zomato.com/jakarta/kyochon-kelapa-gading/info,150000,173.0,-6.1576114884,106.9079911709,1,4.0,0,390,0,108,00000010000000000001000000000000000000000001000000000000000000000000000000000000000000,qquhbz,0.0,29.0,17.0,12.0,4.0,0.0,2.0,1.0,2.0,0.0,2.0,6.0,5.0,12.0,6.0,0.0,2.087964119137696,0.18421052631578946,3.771428571428572
13,https://www.zomato.com/jakarta/the-darwins-theory-kelapa-gading/info,200000,9.0,-6.153109,106.907435,0,2.7,0,1021,0,325,00000100000000000000100000000000000001000000000000000000000000000000000000100001000000,qquhbx,0.0,5.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,0.0,1.941133390880868,0.0,0.0
14,https://www.zomato.com/jakarta/myeong-ga-myeon-ok-kelapa-gading/info,350000,94.0,-6.155696,106.893687,0,4.0,0,509,0,984,00000000000000000000000000000000000010000001000000000000000000000000000000100000000000,qquhbr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,https://www.zomato.com/jakarta/liang-sandwich-bar-kelapa-gading/info,90000,39.0,-6.150372,106.891341,1,3.3,0,197,0,1842,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,qquj02,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.4770454048398876,0.06666666666666667,3.6666666666666665
16,https://www.zomato.com/jakarta/flip-burger-1-kelapa-gading/info,120000,230.0,-6.159206,106.90584,1,3.9,0,1499,0,42,00000000000000000100000000000000000010010000000000000000000000000000000000000000000000,qquhbw,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3862943611198906,1.0,4.1
17,https://www.zomato.com/jakarta/bakmi-gm-kelapa-gading/info,125000,150.0,-6.15629112,106.908781752,1,3.8,0,2148,0,94,00000010000000000000100000000000000010000000000000000000000000000000000000000000100000,qquhbz,0.0,8.0,6.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,9.0,2.0,0.0,2.2040698568063295,0.35714285714285715,3.7600000000000002
18,https://www.zomato.com/jakarta/hokben-1-kelapa-gading/info,150000,57.0,-6.1584015078,106.9076572359,1,3.5,0,40,0,180,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,qquhbw,0.0,36.0,24.0,18.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,23.0,4.0,25.0,9.0,0.0,2.062079284324878,0.2857142857142857,3.4583333333333335
19,https://www.zomato.com/jakarta/pho-24-kelapa-gading/info,230000,21.0,-6.156628,106.90961,1,2.5,0,1426,0,6,00000000000000000000000000000000000010000000000000000000000000000000000000000000000100,qquhbz,0.0,4.0,4.0,6.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,2.088501619335465,0.0,0.0
20,https://www.zomato.com/jakarta/yakiniku-like-1-kelapa-gading/info,200000,159.0,-6.150781,106.892196,1,4.3,0,1117,0,1940,00000000000100000000000000000000100000100000000000000000000000000000000001000000000000,qquj02,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0114042647073516,0.0,0.0
21,https://www.zomato.com/jakarta/bingsuljip-kelapa-gading/info,100000,26.0,-6.1507172689,106.8912414461,0,3.4,0,284,0,6,00000000000000000000000000000000000000010001000000000000000000000000000000000000000000,qquj02,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5623351446188083,0.0,0.0
22,https://www.zomato.com/jakarta/sei-sapi-kana-kelapa-gading/info,80000,34.0,-6.145963,106.905709,1,3.0,0,36,0,54,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,qquj09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6365141682948128,1.0,3.0
23,https://www.zomato.com/jakarta/dimsum-go-kelapa-gading/info,200000,173.0,-6.157258,106.908423,0,4.0,0,2144,1,4,00000000000000101000000100000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,26.0,15.0,6.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,10.0,5.0,0.0,2.084742617487081,0.037037037037037035,4.7
24,https://www.zomato.com/jakarta/onokabe-kelapa-gading/info,300000,151.0,-6.17497,106.894833,0,3.8,0,52,0,1783,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,qquhb7,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,1.500587019692862,0.0,0.0
25,https://www.zomato.com/jakarta/java-kitchen-kelapa-gading/info,160000,53.0,-6.1672136449,106.9010864943,1,3.5,1,5,0,1434,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,qquhbt,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.5810937501718234,0.5,3.8499999999999996
26,https://www.zomato.com/jakarta/doner-kebab-1-kelapa-gading/info,80000,59.0,-6.156041,106.909539,1,3.3,0,2195,0,27,00010000000000000000000000100000000010010010000000000000000000000000000000100000000000,qquhbz,0.0,3.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0423161244496075,0.0,0.0
27,https://www.zomato.com/jakarta/soto-betawi-nyonya-afung-express-kelapa-gading/info,100000,81.0,-6.150609,106.89148,0,3.6,0,220,1,2,00000000000000000000000000000000000010001000000000000000000000000000000000000000000000,qquj02,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
