index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000,avg_n_rest
0,https://www.zomato.com/jakarta/wakacao-1-kelapa-gading/info,150000,56.0,-6.167531,106.901752,0,3.8,0,555,0,5,00000000000000000000100000000000000011000000000000000000000000000000000000000000100010,qquhbt,0.0,116.0,129.0,87.0,40.0,2.0,31.0,106.0,41.0,38.0,25.0,109.0,53.0,110.0,42.0,4.0,2.4558703185842043,0.2248062015503876,3.56875
1,https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-kelapa-gading/info,110000,61.0,-6.157341,106.907888,1,3.0,0,1645,0,964,01000000000000000000101000000000000001000000000000000000000000000000000000000100100000,qquhbx,0.0,144.0,106.0,71.0,9.0,2.0,9.0,31.0,16.0,6.0,16.0,110.0,41.0,77.0,33.0,0.0,2.2186673062903415,0.15254237288135594,3.7777777777777777
2,https://www.zomato.com/jakarta/angke-kelapa-gading-kelapa-gading/info,450000,363.0,-6.152638,106.892576,0,4.5,0,1654,0,1424,00000000000000000001000000000000000000000000000000000000000000000000000000000000000010,qquhbr,0.0,81.0,73.0,54.0,47.0,7.0,16.0,34.0,7.0,17.0,2.0,48.0,42.0,40.0,22.0,0.0,2.3884355506012023,0.15294117647058825,3.653846153846154
3,https://www.zomato.com/jakarta/ikan-nila-pak-ugi-kelapa-gading/info,100000,113.0,-6.163588,106.903689,0,3.9,0,47,0,56,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,qquhbt,0.0,148.0,150.0,87.0,30.0,2.0,14.0,98.0,11.0,41.0,30.0,116.0,73.0,112.0,50.0,4.0,2.3759381870609424,0.23809523809523808,3.6000000000000005
4,https://www.zomato.com/jakarta/hong-kong-sheng-kee-dessert-1-kelapa-gading/info,220000,257.0,-6.157255,106.90843,1,4.1,0,1111,0,244,00000000000000000001101100000000000010000000000000000000000000000000000000000000000000,qquhbz,0.0,91.0,80.0,33.0,13.0,5.0,9.0,18.0,7.0,2.0,16.0,37.0,35.0,46.0,25.0,0.0,2.2833788616472956,0.13253012048192772,3.609090909090909
5,https://www.zomato.com/jakarta/pappa-jack-kopitiam-kelapa-gading/info,330000,114.0,-6.1713986588,106.8987610191,0,3.1,0,2217,0,1679,00000000000000000000100000000000000000100000000000000000000010000000000000000000000000,qquhbs,0.0,154.0,129.0,175.0,88.0,23.0,34.0,118.0,130.0,70.0,12.0,168.0,47.0,159.0,58.0,2.0,2.4654164374690803,0.11510791366906475,3.8444444444444446
6,https://www.zomato.com/jakarta/bakpao-lompobattang-kelapa-gading/info,36000,35.0,-6.1488131926,106.9105067477,0,3.6,0,1563,0,9,00000000000000000001000000000000100000000000000000000000000000000000000000000000000000,qquj0b,0.0,74.0,50.0,68.0,14.0,8.0,2.0,34.0,10.0,7.0,9.0,95.0,28.0,65.0,15.0,0.0,2.267334046298863,0.07407407407407407,3.749999999999999
7,https://www.zomato.com/jakarta/soto-ayam-ambengan-kelapa-gading/info,100000,28.0,-6.1683799854,106.900463216,0,3.1,0,73,0,80,00000000000000000000000000000000000010010000000000000000000000000000010000000000000000,qquhbt,0.0,75.0,99.0,60.0,37.0,0.0,42.0,82.0,37.0,28.0,16.0,110.0,42.0,79.0,34.0,2.0,2.454441377450074,0.17054263565891473,3.6
8,https://www.zomato.com/jakarta/negiya-express-kelapa-gading/info,180000,1047.0,-6.1568761359,106.910065189,1,4.3,0,267,0,11,00000000000000000000000000000000000000100000000000000000000000000000100000000000000000,qquhbz,0.0,84.0,79.0,39.0,15.0,5.0,9.0,19.0,9.0,4.0,17.0,45.0,41.0,49.0,25.0,0.0,2.3302897666422857,0.08045977011494253,3.957142857142857
9,https://www.zomato.com/jakarta/sushi-go-kelapa-gading/info,100000,2888.0,-6.1574894853,106.9079556316,1,4.5,0,917,4,0,00000000000000000100000000000000000000100000000000000000000000000000000000000010000000,qquhbx,0.0,179.0,138.0,100.0,18.0,2.0,22.0,72.0,18.0,26.0,23.0,146.0,58.0,98.0,53.0,2.0,2.3261507377482107,0.07920792079207921,3.816666666666667
