,index,url,rest_price_idr,review,lat,long,is_chain,rating,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_500_airport,d_500_atm,d_500_bank,d_500_cafe,d_500_convenience_store,d_500_gas_station,d_500_hospital,d_500_lodging,d_500_meal_takeaway,d_500_mosque,d_500_park,d_500_restaurant,d_500_school,d_500_store,d_500_supermarket,d_500_train_station,en_500,n_compt_500,avg_n_rest
10,10,https://www.zomato.com/jakarta/pan-co-japanese-fluffy-pancakes-kelapa-gading/info,200000,396.0,-6.157727158,106.9079432264,1,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010,qquhbx,0.0,105.0,55.0,49.0,5.0,0.0,2.0,20.0,14.0,3.0,2.0,84.0,12.0,51.0,20.0,0.0,2.0800985286375058,0.1111111111111111,3.806666666666666
11,11,https://www.zomato.com/jakarta/bakmi-copin-kelapa-gading/info,80000,29.0,-6.1483608401,106.9105771557,0,3.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000,qquj0b,0.0,5.0,8.0,11.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,7.0,9.0,1.0,0.0,2.180403734485135,0.1,4.4
12,12,https://www.zomato.com/jakarta/kyochon-kelapa-gading/info,150000,173.0,-6.1576114884,106.9079911709,1,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquhbz,0.0,48.0,32.0,16.0,6.0,0.0,3.0,13.0,5.0,0.0,4.0,14.0,10.0,20.0,11.0,0.0,2.191205223777646,0.073170731707317,3.7
13,13,https://www.zomato.com/jakarta/the-darwins-theory-kelapa-gading/info,200000,9.0,-6.153109,106.907435,0,2.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000100000000000000100000000000000001000000000000000000000000000000000000000000000000,qquhbx,0.0,57.0,34.0,37.0,2.0,0.0,1.0,3.0,8.0,4.0,2.0,60.0,11.0,34.0,12.0,0.0,2.055367797284218,0.1145833333333333,3.772727272727272
14,14,https://www.zomato.com/jakarta/myeong-ga-myeon-ok-kelapa-gading/info,350000,94.0,-6.155696,106.893687,1,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquhbr,0.0,24.0,27.0,17.0,24.0,0.0,2.0,6.0,2.0,2.0,0.0,6.0,21.0,8.0,2.0,0.0,2.13091875074256,0.2222222222222222,4.1
15,15,https://www.zomato.com/jakarta/liang-sandwich-bar-kelapa-gading/info,90000,39.0,-6.150372,106.891341,1,3.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000000000000000000000000000000000001000000,qquj02,0.0,4.0,18.0,2.0,0.0,9.0,0.0,7.0,2.0,1.0,0.0,19.0,3.0,9.0,4.0,0.0,2.0707956708058006,0.0,0.0
16,16,https://www.zomato.com/jakarta/flip-burger-1-kelapa-gading/info,120000,230.0,-6.159206,106.90584,1,3.9,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000100000000000000000000000000000000000000000000000000000000000000000000,qquhbw,0.0,43.0,39.0,29.0,5.0,0.0,3.0,6.0,11.0,1.0,2.0,31.0,7.0,32.0,10.0,0.0,2.164764935063576,0.0,0.0
17,17,https://www.zomato.com/jakarta/bakmi-gm-kelapa-gading/info,125000,150.0,-6.15629112,106.908781752,1,3.8,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,40.0,23.0,9.0,5.0,0.0,3.0,8.0,5.0,0.0,2.0,13.0,6.0,13.0,11.0,0.0,2.1687413871716386,0.0,0.0
18,18,https://www.zomato.com/jakarta/hokben-1-kelapa-gading/info,150000,57.0,-6.1584015078,106.9076572359,1,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000100000000000100000000000000000000000000000000000000000000000,qquhbw,0.0,70.0,48.0,48.0,4.0,0.0,1.0,19.0,11.0,3.0,2.0,82.0,8.0,41.0,17.0,0.0,2.084025575675863,0.2410714285714285,3.8296296296296286
19,19,https://www.zomato.com/jakarta/pho-24-kelapa-gading/info,230000,21.0,-6.156628,106.90961,1,2.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000100,qquhbz,0.0,33.0,23.0,9.0,4.0,0.0,4.0,7.0,4.0,2.0,2.0,10.0,5.0,14.0,11.0,0.0,2.237168381908972,0.0,0.0
20,20,https://www.zomato.com/jakarta/yakiniku-like-1-kelapa-gading/info,200000,159.0,-6.150781,106.892196,1,4.3,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000100000000000000000000100000100000000000000000000000000000000000000000000000,qquj02,0.0,11.0,17.0,2.0,0.0,9.0,3.0,9.0,0.0,0.0,0.0,14.0,6.0,10.0,3.0,0.0,2.13566565961902,0.1176470588235294,4.35
21,21,https://www.zomato.com/jakarta/bingsuljip-kelapa-gading/info,100000,26.0,-6.1507172689,106.8912414461,0,3.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000,qquj02,0.0,7.0,17.0,2.0,0.0,9.0,3.0,7.0,0.0,0.0,0.0,12.0,5.0,8.0,4.0,0.0,2.1431015729822103,0.0,0.0
22,22,https://www.zomato.com/jakarta/sei-sapi-kana-kelapa-gading/info,80000,34.0,-6.145963,106.905709,1,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qquj09,0.0,3.0,4.0,13.0,4.0,0.0,1.0,3.0,1.0,0.0,3.0,11.0,13.0,8.0,2.0,0.0,2.188666507536839,0.1428571428571428,3.15
23,23,https://www.zomato.com/jakarta/dimsum-go-kelapa-gading/info,200000,173.0,-6.157258,106.908423,0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000,qquhbz,0.0,43.0,28.0,17.0,6.0,0.0,3.0,13.0,5.0,0.0,2.0,14.0,7.0,18.0,11.0,0.0,2.189886682708603,0.0,0.0
24,24,https://www.zomato.com/jakarta/onokabe-kelapa-gading/info,300000,151.0,-6.17497,106.894833,1,3.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qquhb7,0.0,9.0,25.0,22.0,25.0,6.0,12.0,17.0,61.0,6.0,0.0,20.0,2.0,20.0,4.0,0.0,2.264593465769094,0.1538461538461538,3.45
25,25,https://www.zomato.com/jakarta/java-kitchen-kelapa-gading/info,160000,53.0,-6.1672136449,106.9010864943,1,3.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,qquhbt,0.0,20.0,28.0,9.0,11.0,0.0,6.0,8.0,2.0,0.0,2.0,40.0,10.0,20.0,6.0,0.0,2.1815892352028383,0.0588235294117647,3.7
26,26,https://www.zomato.com/jakarta/doner-kebab-1-kelapa-gading/info,80000,59.0,-6.156041,106.909539,1,3.3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00000000000000000000000000100000000000000010000000000000000000000000000000000000000000,qquhbz,0.0,31.0,24.0,9.0,4.0,0.0,2.0,7.0,2.0,0.0,2.0,10.0,6.0,12.0,13.0,0.0,2.158390083877458,0.0833333333333333,3.3666666666666667
